country name,Element,Unit,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
United States,Production,tonnes,29718000,31211888,34928000,35805008,35513856,41030784,42365376,39263952,36784000,44052800,42081632,46560784,48496688,57886448,58481200,55671056,48322656,58080576,64799504,75806304,75251296,65857904,70618000,65975008,56897008,57361808,49320000,55428000,74294000,53890000,67136000,65222000,63168000,59404000,61982000,67536000,69327000,62567284,60639376,52999932,43703968,63803256,58697040,57241992,49216040,55820360,68016096,60365728,60062408,54418808,61677384,58104610,55147120,55839540,62831507,47379810,51305540
Zimbabwe,Production,tonnes,1216,1869,3865,3810,8878,14051,26222,38938,54127,87184,82037,83921,97383,121083,141433,164540,203052,161963,191234,183516,191880,124250,99000,207200,248346,214548,256910,283835,325983,259213,57000,277000,288000,70000,263134,254772,242121,260909,229775,197526,195000,122427,247048,229089,241924,149110,31000,12000,18000,23000,53231.78,50966.05,40000,45302,42008,38715,45000
Australia,Production,tonnes,8352912,8924460,10036954,7067060,12699257,7546691,14804143,10546200,7889918,8606000,6590000,11987000,11357000,11982000,11800000,9370336,18090000,16188000,10856000,16360000,8875571,22016000,18666032,15999000,16119000,12287000,13935000,14214495,15066100,15066100,10557400,14738678,16479000,8961000,16504000,23702000,19224000,21464800,24757000,22108000,24299335,10131924,26131870,21905113,25150343,10821628,13569378,21420177,21834010,27410076,29905009,22855576,25303037,23742560,22274514,31818743.54,20941134
Colombia,Production,tonnes,162000,90000,85000,110000,125000,80000,105000,88700,53700,53200,69200,72400,58800,38900,45300,29400,37700,41970,45690,62300,70700,77800,59300,76100,81700,74200,62500,79700,104800,93900,75219,96303,105183,74126,64623,50181,39064,40008,37085,31793,40795,46571,43471,43963,26399,36778,39191,24349,15147,12754,8990,8345.66,6488.09,9890.5,13550.27,5478.61,6399.28
Ecuador,Production,tonnes,67300,52600,47200,61300,62727,78543,82910,94099,81000,68493,50640,45189,54989,64647,65000,39800,28904,31248,31113,41431,38538,26914,25172,18464,33006,31368,34198,25634,29907,17059,23997,25528,19836,19763,20431.4,19302,19787,19011,12958,13631,8845,11052,10214,8429,7577,9243,8144,11314,7605,5938,7450.22,5755,6814.24,2052.72,6745.77,5803,5398
Guatemala,Production,tonnes,32079,35609,36100,27164,29642,31555,33140,31208,36025,38031,46715,47104,51106,45382,47864,55752,59616,56764,58128,55300,48600,69600,90700,53800,52744,45418,49895,44225,32033,22680,22680,24267,26004,26003,23690,23000,14633,8246,9525,6214.22,2676.19,2830.42,4232.02,2975.57,1587.57,1864.26,1846.12,1546.75,1437.89,1433.35,1515,1556,1673.76,594.21,743.89,638,464
Kenya,Production,tonnes,84200,110400,134700,172200,128400,162200,216300,241600,221486,205743,164383,136284,172332,158059,200274,178160,175121,207268,215674,214400,247500,253000,144590,250735,258840,233645,244525,243000,249411,264457,297000,212776,297000,312644,315000,252000,270810,211788,204232,256997,307215,378665,379425,368879,329193,322320,336688,219301,511994,268482,441944,449641,228900,238600,214700,165200,336600
Angola,Production,tonnes,20000,20000,13000,20000,22000,27000,27000,14145,11965,12782,15070,11527,16985,13000,13000,10000,10000,8000,7000,6000,5000,4000,3000,3000,2400,2400,2400,2400,2500,2560,2800,3000,3000,5000,5235.76,5503.12,6000,4000,4000,4000,4000,3937.08,3941.31,4000,4000,4000,4000,4000,4000,4000,3840.03,3214.34,2885.03,2978.24,2966.67,2915.75,2953.56
Argentina,Production,tonnes,5700000,8940000,11260000,6079000,6247000,7320000,5740000,7020000,4920000,5440000,7900000,6560000,5970000,8570000,11582000,5653100,8469400,8317800,7974700,8369600,15097700,13111400,13678600,8742800,8756500,9101200,8596900,10055700,10055700,11036600,9998500,9995900,9736500,11406460,9542315,16106700,15086820,12600600,15478660,16146620,15427820,12399040,14710175,16139170,12721976,14662945,16486532,8508156,9016373,16067929,14683475,8134409,9188339,13930078,11314952,18395106,18518045
Brazil,Production,tonnes,705619,392363,643004,585384,614657,629301,856170,1373691,1844263,2011334,982901,2031338,2858530,1788180,3215745,2066039,2690888,2926764,2701613,2209631,1826945,2236700,1983157,4320267,5638470,6099111,5745670,5555184,3093791,2916823,2795598,2197354,2096259,1533871,3292777,2489070,2269847,2461856,1725792,3366599,3105660,6153500,5818846,4658790,2484848,4114057,6027131,5055525,6171250,5690043,4418388,5738473,6261895,5508451,6834421,4342812,5469236
Chile,Production,tonnes,969750,1135610,1158880,1115834,1346410,1203500,1219700,1214200,1306900,1367900,1195135,746684,939050,1003070,866470,1219320,892620,995140,966000,685970,650000,585950,988280,1164690,1625809,1874117,1734199,1765525,1718214,1588677,1556588,1323600,1271200,1383861,1227148,1676887,1682040,1196626,1492710,1780160,1820387,1797080,1921652,1851940,1403689,1095872,1237691,1145290,1523921.2,1575822,1213101,1474663,1358128,1482310.1,1731935,1349491.9,1469003.4
Lesotho,Production,tonnes,55000,55000,54000,50000,58000,50000,53780,59696,57552,57903,24000,36000,57000,45337,44640,61381,57906,33629,28194,16993,14462,14810,17127,18434,11009,18547,19237,29698,33162,6844,11854,8127,11955,10603,31300,33722,29641,15426,15545,50755,26250,21805,16216,13797,6085,3956,3720,7420,20119,20065,10516,13472,12592,7069,4690,8851,6975
Mozambique,Production,tonnes,6000,14000,8000,10000,11000,8624,9202,5200,9202,13600,9000,8000,6000,3000,3000,2000,3000,2523,3000,10000,8000,6000,6000,5000,5000,3000,5000,5000,6862,3000,2000,1721.14,1481.67,1349.22,1290.74,1066.48,1210.58,1429.09,1500,2000,2700,3800,5000,6200,8400,10000,12500,15000,17870,20350,17653,19800,20710,20280,17088,17100,17000
Namibia,Production,tonnes,482,600,600,700,600,600,600,700,700,700,700,700,800,800,800,800,800,1000,1500,2000,2500,3000,3500,4000,5922,4960,4609,4380,4425,5900,3116,5700,6300,6400,5700,5721,5274,3644,3429,6119,10489,10289,8262,11015,12858,12163,14581,12448,13397.33,16300,14500,15000,10000,10147.71,9822,6094,6094
Paraguay,Production,tonnes,7000,8800,7000,7200,9160,25100,32000,31376,33000,54800,17600,23000,35245,17872,29251,28261,37801,58253,83679,98895,139071,102138,120764,201090,241543,270528,452006,372916,259337,240538,259337,425421,375679,208617,543435,400189,229173,180088,231119,532155,536754,715000,715000,800000,620000,800000,799632,1066800,1401987,1463881,1560600,1430000,840000,1139147,1144000,1020000,722400
South Africa,Production,tonnes,705000,880000,1060000,656000,548000,1077000,1247000,1316000,1396000,1670000,1746000,1871000,1596000,1792000,2248000,1879000,1692000,2087000,1472000,2356000,2444000,1784000,2346000,1693000,2333000,3154000,3620000,2010000,1709000,2142000,1324000,1983770,1840380,1977254,2711991,2428840,1892080,1733030,2428100,2503950,2437745,1546840,1687000,1905000,2105000,1905000,2130000,1958000,1430000,2005000,1915000,1870000,1750000,1440000,1910000,1535000,1868000
Uruguay,Production,tonnes,452089,236540,645816,619905,328760,143776,469790,446882,388328,301599,186543,296844,526499,455662,504938,173235,174269,435281,306577,387768,363144,418723,348861,246143,231730,307824,413575,542378,417400,188300,342300,343900,486900,392900,649700,504800,559200,383900,324400,143600,270000,205800,326000,532600,454100,611200,697143,1356600,1844416,1300700,2016300,982000,1532796,1076000,1191000,757000,440000
